originaltext;text;tags;tag_ids;ents;prov
 PARATUS (Idem). — [Strasbourg, Martin Flach s. d.), in-4°.  Hain 12402, Polain 3515, Madsen 3040, Voulliéme : Berlin 2516.  554  ;['▁', '▁PAR', 'AT', 'US', '▁(', 'Id', 'em', ').', '▁—', '▁[', '▁Strasbourg', '▁', ',', '▁', '▁Martin', '▁Fla', 'ch', '▁', '▁s', '.', '▁d', '.', '▁),', '▁in', '-4', '°', '.', '▁', '▁', '▁Ha', 'in', '▁124', '02', ',', '▁Po', 'lain', '▁35', '15', ',', '▁Mad', 's', 'en', '▁30', '40', ',', '▁Vo', 'ulli', 'éme', '▁:', '▁Berlin', '▁25', '16', '.', '▁', '▁5', '54', '▁'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 2, 0, 5, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(20, 30, 'B-LOC'), (32, 38, 'B-PER'), (39, 42, 'I-PER'), (42, 44, 'I-PER'), (24, 25, 'B-DATE'), (15, 16, 'I-DATE'), (11, 12, 'I-DATE'), (15, 16, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PARATUS (Idem). — (Strasbourg, Martin Flach s. d.] in-4°. Hain 12403, Polain 3516, Proctor 722.  555  ;['▁', '▁PAR', 'AT', 'US', '▁(', 'Id', 'em', ').', '▁—', '▁(', '▁Strasbourg', '▁', ',', '▁', '▁Martin', '▁Fla', 'ch', '▁', '▁s', '.', '▁d', '.', '▁]', '▁in', '-4', '°', '.', '▁', '▁Ha', 'in', '▁124', '03', ',', '▁Po', 'lain', '▁35', '16', ',', '▁Pro', 'ctor', '▁72', '2.', '▁', '▁5', '55', '▁'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 2, 0, 5, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(20, 30, 'B-LOC'), (32, 38, 'B-PER'), (39, 42, 'I-PER'), (42, 44, 'I-PER'), (24, 25, 'B-DATE'), (15, 16, 'I-DATE'), (11, 12, 'I-DATE'), (15, 16, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
"556>  PARATUS (Idem). — Strasbourg, Martin Flach s. d.), in-fol. Hain 12404; Proctor 730.  556  ";"['▁5', '56', '>', '▁', '▁PAR', 'AT', 'US', '▁(', 'Id', 'em', ').', '▁—', '▁', '▁Strasbourg', '▁', ',', '▁', '▁Martin', '▁Fla', 'ch', '▁', '▁s', '.', '▁d', '.', '▁),', '▁in', '-', 'f', 'ol', '.', '▁', '▁Ha', 'in', '▁124', '04', ';', '▁Pro', 'ctor', '▁7', '30.', '▁', '▁5', '56', '▁']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 2, 0, 5, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(24, 34, 'B-LOC'), (36, 42, 'B-PER'), (43, 46, 'I-PER'), (46, 48, 'I-PER'), (28, 29, 'B-DATE'), (20, 21, 'I-DATE'), (16, 17, 'I-DATE'), (20, 21, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PARATUS (Idem). — Strasbourg, Martin Flach 1491, in-fol.  Copinger II, 4600.  557  ;['▁', '▁PAR', 'AT', 'US', '▁(', 'Id', 'em', ').', '▁—', '▁', '▁Strasbourg', '▁', ',', '▁', '▁Martin', '▁Fla', 'ch', '▁', '▁14', '91', '▁', ',', '▁in', '-', 'f', 'ol', '.', '▁', '▁', '▁Cop', 'inger', '▁II', ',', '▁4', '600', '.', '▁', '▁5', '57', '▁'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 2, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(19, 29, 'B-LOC'), (31, 37, 'B-PER'), (38, 41, 'I-PER'), (41, 43, 'I-PER'), (44, 46, 'B-DATE'), (46, 48, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PARATUS (Idem). — Haguenau, Henri Gran 1500, in-4°.  Copinger II, 4601.  558  ;['▁', '▁PAR', 'AT', 'US', '▁(', 'Id', 'em', ').', '▁—', '▁', '▁Ha', 'guen', 'au', '▁', ',', '▁', '▁Henri', '▁Gran', '▁', '▁1500', '▁', ',', '▁in', '-4', '°', '.', '▁', '▁', '▁Cop', 'inger', '▁II', ',', '▁46', '01', '.', '▁', '▁5', '58', '▁'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(19, 21, 'B-LOC'), (21, 25, 'I-LOC'), (25, 27, 'I-LOC'), (29, 34, 'B-PER'), (35, 39, 'I-PER'), (40, 44, 'B-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PAULSDORF, Martin. Voir : Agenda Wratislaviensis, n° 16.  ;['▁', '▁PA', 'UL', 'SD', 'OR', 'F', ',', '▁Martin', '▁', '.', '▁Voir', '▁:', '▁', '▁Agenda', '▁W', 'ra', 'tis', 'la', 'viens', 'is', '▁', ',', '▁n', '°', '▁16', '.', '▁'];['O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 3, 'B-PER'), (3, 5, 'I-PER'), (5, 7, 'I-PER'), (7, 9, 'I-PER'), (9, 10, 'I-PER'), (10, 11, 'I-PER'), (12, 18, 'I-PER')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
  PELBARTUS de Themeswar : Expositio libri Psalmorum,  Hymnorum et Soliloquorum.  — Strasbourg 1487, in-fol.  Hain 12561.  559  ;['▁', '▁', '▁P', 'EL', 'B', 'ART', 'US', '▁de', '▁The', 'mes', 'war', '▁:', '▁', '▁Ex', 'posit', 'io', '▁li', 'bri', '▁P', 'sal', 'mor', 'um', ',', '▁', '▁Hy', 'mn', 'orum', '▁et', '▁Sol', 'il', 'oqu', 'orum', '.', '▁', '▁—', '▁', '▁Strasbourg', '▁', '▁14', '87', '▁', ',', '▁in', '-', 'f', 'ol', '.', '▁', '▁', '▁Ha', 'in', '▁125', '61', '.', '▁', '▁5', '59', '▁'];['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(2, 3, 'B-PER'), (3, 5, 'I-PER'), (5, 6, 'I-PER'), (6, 9, 'I-PER'), (9, 11, 'I-PER'), (12, 14, 'I-PER'), (15, 18, 'I-PER'), (18, 21, 'I-PER'), (21, 24, 'I-PER'), (84, 94, 'B-LOC'), (95, 97, 'B-DATE'), (97, 99, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PELBARTUS de Themeswar : Stellarium coronae Beatae  Virginis Mariae.  — Strasbourg 1490, in-fol.  Hain 12565.  560  ;['▁', '▁P', 'EL', 'B', 'ART', 'US', '▁de', '▁The', 'mes', 'war', '▁:', '▁', '▁Stella', 'rium', '▁cor', 'ona', 'e', '▁Beat', 'a', 'e', '▁', '▁Virgin', 'is', '▁Maria', 'e', '.', '▁', '▁—', '▁', '▁Strasbourg', '▁', '▁14', '90', '▁', ',', '▁in', '-', 'f', 'ol', '.', '▁', '▁', '▁Ha', 'in', '▁125', '65', '.', '▁', '▁5', '60', '▁'];['O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 2, 'B-PER'), (2, 4, 'I-PER'), (4, 5, 'I-PER'), (5, 8, 'I-PER'), (8, 10, 'I-PER'), (11, 13, 'I-PER'), (14, 17, 'I-PER'), (17, 20, 'I-PER'), (20, 23, 'I-PER'), (73, 83, 'B-LOC'), (84, 86, 'B-DATE'), (86, 88, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PELBARTUS de Themeswar: Stellarium coronae B. V. Mariae. —  Haguenau, H. Gran 1498, in-fol.  Hain 12566.  561  ;['▁', '▁P', 'EL', 'B', 'ART', 'US', '▁de', '▁The', 'mes', 'war', '▁:', '▁', '▁Stella', 'rium', '▁cor', 'ona', 'e', '▁B', '.', '▁V', '.', '▁Maria', 'e', '.', '▁—', '▁', '▁Ha', 'guen', 'au', '▁', ',', '▁', '▁H', '.', '▁Gran', '▁', '▁14', '98', '▁', ',', '▁in', '-', 'f', 'ol', '.', '▁', '▁', '▁Ha', 'in', '▁125', '66', '.', '▁', '▁5', '61', '▁'];['O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 1, 2, 2, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 2, 'B-PER'), (2, 4, 'I-PER'), (4, 5, 'I-PER'), (5, 8, 'I-PER'), (8, 10, 'I-PER'), (11, 13, 'I-PER'), (14, 17, 'I-PER'), (17, 20, 'I-PER'), (20, 23, 'I-PER'), (61, 63, 'B-LOC'), (63, 67, 'I-LOC'), (67, 69, 'I-LOC'), (61, 62, 'B-PER'), (45, 46, 'I-PER'), (74, 78, 'I-PER'), (79, 81, 'B-DATE'), (81, 83, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
" PELBARTUS DE THEMESWAR : Sermones Pomerii. —  Haguenau, Henri Gran pour Rynman, 8 juin 1500,  in-fol.  Hain 12556, Walter n° 361; Voulliéme : Berlin 1185; Burg 27.  562  ";"['▁', '▁P', 'EL', 'B', 'ART', 'US', '▁DE', '▁THE', 'MES', 'W', 'AR', '▁:', '▁', '▁Ser', 'mon', 'es', '▁Po', 'mer', 'ii', '.', '▁—', '▁', '▁Ha', 'guen', 'au', '▁', ',', '▁', '▁Henri', '▁Gran', '▁pour', '▁', '▁R', 'yn', 'man', '▁', ',', '▁', '▁8', '▁juin', '▁1500', '▁', ',', '▁', '▁in', '-', 'f', 'ol', '.', '▁', '▁', '▁Ha', 'in', '▁125', '56', ',', '▁Walter', '▁n', '°', '▁3', '61', ';', '▁Vo', 'ulli', 'éme', '▁:', '▁Berlin', '▁11', '85', ';', '▁Burg', '▁27', '.', '▁', '▁5', '62', '▁']";['O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 2, 'B-PER'), (2, 4, 'I-PER'), (4, 5, 'I-PER'), (5, 8, 'I-PER'), (8, 10, 'I-PER'), (11, 13, 'I-PER'), (14, 17, 'I-PER'), (17, 20, 'I-PER'), (20, 21, 'I-PER'), (5, 7, 'I-PER'), (47, 49, 'B-LOC'), (49, 53, 'I-LOC'), (53, 55, 'I-LOC'), (57, 62, 'B-PER'), (63, 67, 'I-PER'), (6, 7, 'B-PER'), (74, 76, 'I-PER'), (76, 79, 'I-PER'), (81, 82, 'B-DATE'), (83, 87, 'I-DATE'), (88, 92, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
