originaltext;text;tags;tag_ids;ents;prov
 PARATUS (Idem). — [Strasbourg, Martin Flach s. d.), in-4°.  Hain 12402, Polain 3515, Madsen 3040, Voulliéme : Berlin 2516.  554  ;[' ', 'PARATUS', ' ', '(', 'Idem', ')', '.', '—', '[', 'Strasbourg', ',', 'Martin', 'Flach', ' ', 's.', 'd.', ')', ',', 'in-4', '°', '.', ' ', ' ', 'Hain', '12402', ',', 'Polain', '3515', ',', 'Madsen', '3040', ',', 'Voulliéme', ':', 'Berlin', '2516', '.', ' ', '554', ' '];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(20, 30, 'B-LOC'), (32, 38, 'B-PER'), (39, 44, 'I-PER'), (45, 47, 'B-DATE'), (48, 50, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PARATUS (Idem). — (Strasbourg, Martin Flach s. d.] in-4°. Hain 12403, Polain 3516, Proctor 722.  555  ;[' ', 'PARATUS', ' ', '(', 'Idem', ')', '.', '—', '(', 'Strasbourg', ',', 'Martin', 'Flach', ' ', 's.', 'd.', ']', 'in-4', '°', '.', ' ', 'Hain', '12403', ',', 'Polain', '3516', ',', 'Proctor', '722', '.', ' ', '555', ' '];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(20, 30, 'B-LOC'), (32, 38, 'B-PER'), (39, 44, 'I-PER'), (45, 47, 'B-DATE'), (48, 50, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
"556>  PARATUS (Idem). — Strasbourg, Martin Flach s. d.), in-fol. Hain 12404; Proctor 730.  556  ";"['556', '>', ' ', 'PARATUS', ' ', '(', 'Idem', ')', '.', '—', 'Strasbourg', ',', 'Martin', 'Flach', ' ', 's.', 'd.', ')', ',', 'in', '-', 'fol', '.', ' ', 'Hain', '12404', ';', 'Proctor', '730', '.', ' ', '556', ' ']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(24, 34, 'B-LOC'), (36, 42, 'B-PER'), (43, 48, 'I-PER'), (49, 51, 'B-DATE'), (52, 54, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PARATUS (Idem). — Strasbourg, Martin Flach 1491, in-fol.  Copinger II, 4600.  557  ;[' ', 'PARATUS', ' ', '(', 'Idem', ')', '.', '—', 'Strasbourg', ',', 'Martin', 'Flach', ' ', '1491', ',', 'in', '-', 'fol', '.', ' ', ' ', 'Copinger', 'II', ',', '4600', '.', ' ', '557', ' '];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(19, 29, 'B-LOC'), (31, 37, 'B-PER'), (38, 43, 'I-PER'), (44, 48, 'B-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PARATUS (Idem). — Haguenau, Henri Gran 1500, in-4°.  Copinger II, 4601.  558  ;[' ', 'PARATUS', ' ', '(', 'Idem', ')', '.', '—', 'Haguenau', ',', 'Henri', 'Gran', ' ', '1500', ',', 'in-4', '°', '.', ' ', ' ', 'Copinger', 'II', ',', '4601', '.', ' ', '558', ' '];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(19, 27, 'B-LOC'), (29, 34, 'B-PER'), (35, 39, 'I-PER'), (40, 44, 'B-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PAULSDORF, Martin. Voir : Agenda Wratislaviensis, n° 16.  ;[' ', 'PAULSDORF', ',', 'Martin', '.', 'Voir', ':', 'Agenda', 'Wratislaviensis', ',', 'n°', '16', '.', ' '];['O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 10, 'B-PER'), (10, 11, 'I-PER'), (12, 18, 'I-PER')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
  PELBARTUS de Themeswar : Expositio libri Psalmorum,  Hymnorum et Soliloquorum.  — Strasbourg 1487, in-fol.  Hain 12561.  559  ;[' ', ' ', 'PELBARTUS', 'de', 'Themeswar', ' ', ':', '  ', 'Expositio', 'libri', 'Psalmorum', ',', ' ', 'Hymnorum', 'et', 'Soliloquorum', '.', ' ', ' ', '—', 'Strasbourg', ' ', '1487', ',', 'in', '-', 'fol', '.', ' ', ' ', 'Hain', '12561', '.', ' ', '559', ' '];['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(2, 11, 'B-PER'), (12, 14, 'I-PER'), (15, 24, 'I-PER'), (84, 94, 'B-LOC'), (95, 99, 'B-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PELBARTUS de Themeswar : Stellarium coronae Beatae  Virginis Mariae.  — Strasbourg 1490, in-fol.  Hain 12565.  560  ;[' ', 'PELBARTUS', 'de', 'Themeswar', ' ', ':', '  ', 'Stellarium', 'coronae', 'Beatae', ' ', 'Virginis', 'Mariae', '.', ' ', ' ', '—', 'Strasbourg', ' ', '1490', ',', 'in', '-', 'fol', '.', ' ', ' ', 'Hain', '12565', '.', ' ', '560', ' '];['O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 10, 'B-PER'), (11, 13, 'I-PER'), (14, 23, 'I-PER'), (73, 83, 'B-LOC'), (84, 88, 'B-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
 PELBARTUS de Themeswar: Stellarium coronae B. V. Mariae. —  Haguenau, H. Gran 1498, in-fol.  Hain 12566.  561  ;[' ', 'PELBARTUS', 'de', 'Themeswar', ':', 'Stellarium', 'coronae', 'B.', 'V.', 'Mariae', '.', ' ', '—', ' ', 'Haguenau', ',', 'H.', 'Gran', ' ', '1498', ',', 'in', '-', 'fol', '.', ' ', ' ', 'Hain', '12566', '.', ' ', '561', ' '];['O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 10, 'B-PER'), (11, 13, 'I-PER'), (14, 23, 'I-PER'), (61, 69, 'B-LOC'), (71, 73, 'B-PER'), (74, 78, 'I-PER'), (79, 83, 'B-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
" PELBARTUS DE THEMESWAR : Sermones Pomerii. —  Haguenau, Henri Gran pour Rynman, 8 juin 1500,  in-fol.  Hain 12556, Walter n° 361; Voulliéme : Berlin 1185; Burg 27.  562  ";"[' ', 'PELBARTUS', 'DE', 'THEMESWAR', ' ', ':', 'Sermones', 'Pomerii', '.', ' ', '—', ' ', 'Haguenau', ',', 'Henri', 'Gran', ' ', 'pour', 'Rynman', ',', '8', 'juin', '1500', ',', ' ', 'in', '-', 'fol', '.', ' ', ' ', 'Hain', '12556', ',', 'Walter', 'n°', '361', ';', 'Voulliéme', ':', 'Berlin', '1185', ';', 'Burg', '27', '.', ' ', '562', ' ']";['O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'];[0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 1, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[(1, 10, 'B-PER'), (11, 13, 'I-PER'), (14, 23, 'I-PER'), (47, 55, 'B-LOC'), (57, 62, 'B-PER'), (63, 67, 'I-PER'), (73, 79, 'B-PER'), (81, 82, 'B-DATE'), (83, 87, 'I-DATE'), (88, 92, 'I-DATE')];Catalogue des incunables ne figurant pas à la Bibliothèque nationale et universitaire de Strasbourg - IIIe partie087.xml
