"
"	O	O
"
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
[	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
s.	B-DATE	O
d.	I-DATE	O
),	O	O
"in-4°.
"	O	O
"
"	O	O
Hain	O	B-PER
12402,	O	O
Polain	O	O
3515,	O	O
Madsen	O	O
3040,	O	O
Voulliéme	O	O
:	O	O
Berlin	O	B-PER
"2516.
"	O	O
"554
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
(	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
s.	B-DATE	O
d.	I-DATE	O
]	O	O
in-4°.	O	O
"
"	O	O
Hain	O	B-PER
12403,	O	O
Polain	O	O
3516,	O	O
Proctor	O	B-PER
"722.
"	O	O
"555
"	O	O
"556>
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
s.	B-DATE	O
d.	I-DATE	O
),	O	O
in-fol.	O	O
"
"	O	O
Hain	O	B-PER
12404;	O	O
Proctor	O	B-PER
"730.
"	O	O
"556
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
1491	B-DATE	B-DATE
,	O	O
"in-fol.
"	O	O
"
"	O	O
Copinger	O	O
II,	O	O
"4600.
"	O	O
"557
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
Haguenau	B-LOC	B-PER
,	O	O
Henri	B-PER	B-PER
Gran	I-PER	I-PER
1500	B-DATE	B-DATE
,	O	O
"in-4°.
"	O	O
"
"	O	O
Copinger	O	O
II,	O	O
"4601.
"	O	O
"558
"	O	O
"
"	O	O
PAULSDORF,	B-PER	O
Martin	B-PER	B-PER
.	O	O
Voir	O	O
:	O	O
Agenda	O	O
Wratislaviensis	O	O
,	O	O
n°	O	O
"16.
"	O	O
"
"	O	O
"
"	O	O
PELBARTUS	B-PER	B-PER
de	I-PER	O
Themeswar	I-PER	B-PER
:	O	O
"
"	O	O
Expositio	O	O
libri	O	O
"Psalmorum,
"	O	O
Hymnorum	O	O
et	O	O
"Soliloquorum.
"	O	O
—	O	O
Strasbourg	B-LOC	B-LOC
1487	B-DATE	B-DATE
,	O	O
"in-fol.
"	O	O
"
"	O	O
Hain	O	B-PER
"12561.
"	O	O
"559
"	O	O
"
"	O	O
PELBARTUS	B-PER	B-PER
de	I-PER	O
Themeswar	I-PER	B-PER
:	O	O
"
"	O	O
Stellarium	O	O
coronae	O	O
"Beatae
"	O	O
Virginis	O	B-PER
"Mariae.
"	O	O
—	O	O
Strasbourg	B-LOC	B-LOC
1490	B-DATE	B-DATE
,	O	O
"in-fol.
"	O	O
"
"	O	O
Hain	O	B-PER
"12565.
"	O	O
"560
"	O	O
"
"	O	O
PELBARTUS	B-PER	B-PER
de	I-PER	O
Themeswar	I-PER	B-PER
:	O	O
Stellarium	O	O
coronae	O	O
B.	O	O
V.	O	O
Mariae.	O	O
"—
"	O	O
Haguenau	B-LOC	B-PER
,	O	O
H.	B-PER	O
Gran	I-PER	B-PER
1498	B-DATE	B-DATE
,	O	O
"in-fol.
"	O	O
"
"	O	O
Hain	O	B-PER
"12566.
"	O	O
"561
"	O	O
"
"	O	O
PELBARTUS	B-PER	B-PER
DE	I-PER	O
THEMESWAR	I-PER	B-PER
:	O	O
Sermones	O	O
Pomerii.	O	O
"—
"	O	O
Haguenau	B-LOC	B-PER
,	O	O
Henri	B-PER	B-PER
Gran	I-PER	I-PER
pour	O	O
Rynman	B-PER	O
,	O	O
8	B-DATE	O
juin	I-DATE	O
1500	B-DATE	B-DATE
",
"	O	O
"in-fol.
"	O	O
"
"	O	O
Hain	O	B-PER
12556,	O	O
Walter	O	B-PER
n°	O	O
361;	O	O
Voulliéme	O	O
:	O	O
Berlin	O	B-PER
1185;	O	O
Burg	O	B-PER
"27.
"	O	O
"562
"	O	O
"
"	O	O
"85
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
[	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
s.	B-DATE	O
d.	I-DATE	O
),	O	O
"in-4°.
"	O	O
"
"	O	O
Hain	O	B-PER
12402,	O	O
Polain	O	O
3515,	O	O
Madsen	O	O
3040,	O	O
Voulliéme	O	O
:	O	O
Berlin	O	B-PER
"2516.
"	O	O
"554
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
(	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
s.	B-DATE	O
d.	I-DATE	O
]	O	O
in-4°.	O	O
"
"	O	O
Hain	O	B-PER
12403,	O	O
Polain	O	O
3516,	O	O
Proctor	O	B-PER
"722.
"	O	O
"555
"	O	O
"556>
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
s.	B-DATE	O
d.	I-DATE	O
),	O	O
in-fol.	O	O
"
"	O	O
Hain	O	B-PER
12404;	O	O
Proctor	O	B-PER
"730.
"	O	O
"556
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
Strasbourg	B-LOC	B-LOC
,	O	O
Martin	B-PER	B-PER
Flach	I-PER	I-PER
1491	B-DATE	B-DATE
,	O	O
"in-fol.
"	O	O
"
"	O	O
Copinger	O	O
II,	O	O
"4600.
"	O	O
"557
"	O	O
"
"	O	O
PARATUS	O	O
(Idem).	O	O
—	O	O
Haguenau	B-LOC	B-PER
,	O	O
Henri	B-PER	B-PER
Gran	I-PER	I-PER
1500	B-DATE	B-DATE
,	O	O
"in-4°.
"	O	O
"
"	O	O
Copinger	O	O
II,	O	O
"4601.
"	O	O
"558
"	O	O
"
"	O	O
PAULSDORF,	B-PER	O
Martin	I-PER	B-PER
.	O	O
Voir	O	O
:	O	O
Agenda	O	O
Wratislaviensis	O	O
,	O	O
n°	O	O
"16.
"	O	O
"
"	O	O
"
"	O	O
PELBARTUS	B-PER	B-PER
de	I-PER	O
Themeswar	I-PER	B-PER
:	O	O
"
"	O	O
Expositio	O	O
libri	O	O
"Psalmorum,
"	O	O
Hymnorum	O	O
et	O	O
"Soliloquorum.
"	O	O
—	O	O
Strasbourg	B-LOC	B-LOC
1487	B-DATE	B-DATE
,	O	O
"in-fol.
"	O	O
"
"	O	O
Hain	O	B-PER
"12561.
"	O	O
"559
"	O	O
"
"	O	O
PELBARTUS	B-PER	B-PER
de	I-PER	O
